word,neg_score,pos_score,label
ungodliness,0.625,0.25,0
inadmissibility,0.75,0.125,0
disorganise,0.0,0.0,2
unyoke,0.0,0.0,2
unconscientiousness,0.375,0.5,2
unjustly,0.0,0.125,2
unorthodox,0.0,0.0,2
unhelpfully,0.0,0.25,2
indecisive,0.375,0.375,2
spiritless,0.0,0.0,2
nonspecific,0.0,0.0,2
inopportune,0.0,0.0,2
nonaligned,0.0,0.0,2
noninstitutional,0.125,0.0,2
underhand,0.0,0.0,2
nonmagnetic,0.625,0.0,0
nonreticulate,0.0,0.0,2
counterclockwise,0.0,0.0,2
unequivocal,0.375,0.25,2
noninvasive,0.625,0.0,0
uneven,0.0,0.0,2
desecrated,0.0,0.0,2
uninsurability,0.25,0.25,2
noncombinative,0.0,0.0,2
uninflected,0.125,0.0,2
untranslatable,0.5,0.0,0
nonviolently,0.0,0.0,2
irresponsibly,0.0,0.5,1
unheaded,0.625,0.0,0
unrespectability,0.25,0.75,1
uncut,0.0,0.0,2
atonic,0.0,0.0,2
unsoured,0.625,0.0,0
azonal,0.25,0.125,2
keyless,0.0,0.0,2
fearlessly,0.0,0.0,2
unhygienically,0.0,0.25,2
tasteless,0.0,0.0,2
depersonalize,0.0,0.0,2
inhumanely,0.0,0.25,2
indecency,0.75,0.125,0
unpreventable,0.25,0.125,2
unreasonably,0.375,0.0,0
inadequacy,0.125,0.0,2
unpleasingness,0.75,0.125,0
disprove,0.0,0.0,2
discontinued,0.0,0.0,2
unmanageable,0.0,0.125,2
imperceptibility,0.125,0.0,2
defensively,0.0,0.125,2
unleaded_gasoline,0.75,0.0,0
divergency,0.0,0.0,2
unstuck,0.0,0.0,2
unliveried,0.125,0.125,2
nonpartisan,0.0,0.0,2
untangled,0.125,0.0,2
de-energize,0.0,0.0,2
impatiently,0.0,0.25,2
unstructured,0.0,0.125,2
uninquiring,0.0,0.0,2
unfortunately,0.875,0.0,0
disproportionate,0.0,0.0,2
nonmetallic,0.75,0.0,0
unorganized,0.75,0.0,0
unhitch,0.0,0.0,2
unscrew,0.0,0.0,2
uncommon,0.25,0.5,2
unbutton,0.0,0.0,2
noncitizen,0.0,0.0,2
handleless,0.0,0.0,2
indeterminable,0.625,0.125,0
moonless,0.0,0.0,2
nonimitative,0.75,0.0,0
unstableness,0.25,0.375,2
inhospitably,0.0,0.25,2
unlike,0.0,0.0,2
unmilitary,0.75,0.0,0
effortlessness,0.625,0.125,0
uncared-for,0.125,0.125,2
fearlessness,0.75,0.125,0
anticlinal,0.0,0.0,2
inviolable,0.375,0.125,2
insentience,0.25,0.125,2
hairlessness,0.0,0.0,2
impurity,0.0,0.125,2
insensibility,0.75,0.0,0
unhealthy,0.75,0.0,0
nonphotosynthetic,0.125,0.0,2
decompression,0.0,0.0,2
intransitively,0.0,0.25,2
ungathered,0.625,0.0,0
untalented,0.0,0.375,1
disagreement,0.0,0.125,2
unaltered,0.0,0.0,2
tubeless,0.625,0.0,0
extrasensory,0.0,0.0,2
unquietly,0.0,0.0,2
undervalue,0.0,0.0,2
noncivilized,0.0,0.0,2
disloyal,0.0,0.0,2
inhumane,0.0,0.0,2
inconsiderate,0.0,0.0,2
indecently,0.25,0.0,2
untimeliness,0.25,0.0,2
irregularly,0.0,0.0,2
unnaturalness,0.875,0.0,0
unmanageably,0.0,0.0,2
unreliable,0.875,0.0,0
undetermined,0.625,0.0,0
unrealistic,0.75,0.0,0
undrinkable,0.5,0.25,2
inedible,0.75,0.25,0
atypically,0.0,0.25,2
inculpatory,0.0,0.0,2
unpresidential,0.125,0.0,2
untouched,0.5,0.0,0
impiety,0.25,0.375,2
unbreakable,0.625,0.0,0
incomprehension,0.625,0.25,0
unreal,0.0,0.0,2
uneventful,0.375,0.25,2
insectivorous,0.0,0.0,2
inaudibility,0.5,0.25,2
unsarcastic,0.625,0.0,0
discourteously,0.0,0.25,2
inextinguishable,0.875,0.0,0
unbodied,0.25,0.0,2
off-street,0.0,0.0,2
disengage,0.0,0.0,2
unsaponified,0.375,0.25,2
inoperable,0.75,0.0,0
inexpedience,0.25,0.375,2
incorporeality,0.625,0.0,0
unstoppable,0.625,0.0,0
incapable,0.125,0.125,2
inappropriate,0.0,0.0,2
unframed,0.625,0.0,0
impermanent,0.0,0.0,2
unsteadiness,0.5,0.0,0
denitrify,0.0,0.0,2
unforgivably,0.0,0.0,2
insomnia,0.75,0.0,0
disembark,0.0,0.0,2
inanimateness,0.625,0.0,0
inelegance,0.125,0.625,1
unfavorably,0.125,0.125,2
disarm,0.0,0.0,2
unreliably,0.0,0.25,2
demagnetise,0.0,0.0,2
inattentiveness,0.0,0.0,2
dedifferentiate,0.0,0.0,2
tactless,0.0,0.0,2
unconstricted,0.5,0.125,0
hypertrophied,0.0,0.0,2
unclog,0.0,0.0,2
immodesty,0.25,0.0,2
unextended,0.75,0.0,0
unpopularity,0.125,0.375,2
nonprescription,0.0,0.0,2
unadjusted,0.625,0.0,0
noninstitutionalized,0.0,0.0,2
disbelieve,0.0,0.0,2
distrustful,0.0,0.0,2
invariable,0.625,0.0,0
discolor,0.0,0.0,2
disreputably,0.0,0.125,2
intolerant,0.0,0.0,2
implausible,0.375,0.25,2
unthinkable,0.625,0.0,0
unappendaged,0.625,0.0,0
unnoticeable,0.625,0.0,0
discouragingly,0.0,0.125,2
hypercatalectic,0.0,0.0,2
intangibility,0.375,0.375,2
unleavened,0.0,0.0,2
uninviting,0.0,0.0,2
unfortunate,0.25,0.0,2
no-go,0.75,0.0,0
incorrect,0.0,0.0,2
juiceless,0.0,0.0,2
understate,0.0,0.0,2
nonintervention,0.125,0.0,2
unposed,0.75,0.0,0
demulsify,0.0,0.0,2
downtick,0.0,0.0,2
unpublished,0.125,0.0,2
unpriestly,0.0,0.0,2
decode,0.0,0.0,2
untreated,0.875,0.0,0
incontestable,0.625,0.0,0
incoordination,0.625,0.0,0
uncertainty,0.0,0.0,2
abranchiate,0.0,0.0,2
unobtrusiveness,0.625,0.125,0
immeasurably,0.0,0.0,2
uncompartmented,0.75,0.0,0
ill-defined,0.125,0.375,2
unpermissiveness,0.625,0.25,0
hipless,0.0,0.0,2
nonpsychoactive,0.75,0.0,0
unappreciatively,0.0,0.25,2
imperfect,0.0,0.0,2
disenfranchise,0.0,0.0,2
achondritic,0.0,0.0,2
inauspiciously,0.0,0.25,2
unsuitability,0.25,0.5,2
unprecedentedly,0.0,0.25,2
nonclassical,0.125,0.0,2
unpronounceable,0.625,0.125,0
ungenerous,0.25,0.375,2
infelicitous,0.75,0.0,0
irreducible,0.625,0.0,0
infidelity,0.375,0.5,2
unalterability,0.625,0.125,0
malnourished,0.0,0.0,2
noncritical,0.5,0.0,0
unprofitable,0.625,0.0,0
incurable,0.0,0.5,1
inerrancy,0.375,0.25,2
out-basket,0.0,0.0,2
inapplicability,0.0,0.125,2
uninspiring,0.0,0.0,2
unnoticed,0.125,0.0,2
nonbearing,0.0,0.0,2
infeasibility,0.625,0.125,0
immobile,0.0,0.0,2
outdoors,0.0,0.0,2
untraveled,0.625,0.0,0
unconfirmed,0.625,0.0,0
unscripted,0.625,0.0,0
unsmilingly,0.0,0.25,2
revealing,0.0,0.0,2
unchain,0.0,0.0,2
nonalignment,0.125,0.0,2
undignified,0.25,0.0,2
extraordinariness,0.375,0.5,2
nonexempt,0.0,0.0,2
inattentive,0.375,0.25,2
unwire,0.0,0.0,2
dysphoric,0.0,0.0,2
trackless,0.0,0.0,2
informality,0.25,0.375,2
contraindication,0.0,0.0,2
unsolvability,0.625,0.0,0
unreported,0.125,0.0,2
unintelligently,0.0,0.25,2
immeasurable,0.375,0.125,2
deflate,0.0,0.0,2
unpleasantness,0.25,0.0,2
untruthful,0.625,0.0,0
unstable,0.375,0.25,2
unofficially,0.0,0.0,2
unplug,0.0,0.0,2
unbelt,0.0,0.0,2
unbeneficed,0.625,0.0,0
unassertive,0.0,0.625,1
unmask,0.0,0.0,2
undercharge,0.5,0.0,0
extraordinary,0.0,0.625,1
insubordinate,0.0,0.0,2
unhook,0.0,0.0,2
disorder,0.375,0.0,0
tastelessly,0.625,0.0,0
improperness,0.5,0.0,0
unquestionable,0.25,0.0,2
undelineated,0.625,0.0,0
deregulate,0.0,0.0,2
infiniteness,0.75,0.0,0
inauspicious,0.889,0.111,0
neckless,0.0,0.0,2
uncrate,0.0,0.0,2
unfair,0.0,0.0,2
uncollected,0.625,0.0,0
inaudibly,0.0,0.25,2
discontentment,0.0,0.125,2
unsure,0.0,0.0,2
unexploited,0.625,0.0,0
incomprehensibility,0.375,0.375,2
intense,0.0,0.0,2
hypoparathyroidism,0.625,0.0,0
imperceptibly,0.0,0.0,2
unwillingly,0.125,0.0,2
unoriginality,0.375,0.125,2
unconsummated,0.0,0.0,2
unkind,0.0,0.0,2
unaffectedness,0.0,0.625,1
unclutter,0.0,0.0,2
unchristian,0.625,0.0,0
impropriety,0.5,0.0,0
uncomplaining,0.0,0.0,2
unconquerable,0.75,0.125,0
ungraciousness,0.444,0.556,2
undrained,0.125,0.0,2
disordered,0.0,0.0,2
bottomless,0.0,0.0,2
nonarboreal,0.0,0.0,2
uncharacteristic,0.0,0.0,2
uncleared,0.5,0.0,0
unspell,0.0,0.0,2
unobstructed,0.0,0.5,1
disembarrassment,0.5,0.0,0
unwholesome,0.75,0.125,0
disobedience,0.0,0.125,2
nonworker,0.0,0.0,2
unarticulated,0.625,0.0,0
atypical,0.75,0.0,0
nonthermal,0.25,0.0,2
unalike,0.0,0.0,2
unbuttoned,0.125,0.0,2
disenchant,0.0,0.0,2
acatalectic,0.0,0.125,2
unready,0.5,0.125,0
nonstandard,0.0,0.0,2
unproved,0.125,0.25,2
unfruitful,0.75,0.0,0
smokeless,0.0,0.0,2
unequipped,0.5,0.125,0
unprocessed,0.75,0.0,0
demerit,0.0,0.0,2
discontented,0.0,0.0,2
inconsequence,0.5,0.25,2
nonconformity,0.5,0.125,0
disavow,0.0,0.0,2
unaddicted,0.125,0.0,2
undetected,0.5,0.25,2
mercilessness,0.5,0.375,2
indirect,0.0,0.0,2
outspan,0.0,0.0,2
disorganize,0.0,0.0,2
unscramble,0.0,0.0,2
unobligated,0.25,0.0,2
disreputability,0.25,0.75,1
inferiority,0.5,0.125,0
indigestible,0.625,0.0,0
inexperience,0.0,0.125,2
unspaced,0.0,0.0,2
demotion,0.0,0.0,2
unseductive,0.25,0.0,2
inexcusably,0.0,0.0,2
indistinct,0.0,0.0,2
improvident,0.0,0.0,2
unregistered,0.625,0.0,0
intradepartmental,0.0,0.0,2
unexpired,0.625,0.0,0
injustice,0.0,0.0,2
immoderation,0.625,0.25,0
immobility,0.0,0.0,2
unwaxed,0.25,0.0,2
illicit,0.0,0.0,2
dysphemism,0.5,0.0,0
demobilize,0.0,0.0,2
unpainted,0.5,0.0,0
indecorum,0.5,0.25,2
unethical,0.75,0.0,0
unsympathetically,0.0,0.25,2
ineffectiveness,0.25,0.125,2
nonexistence,0.125,0.0,2
uninfluential,0.125,0.0,2
syncategorematic,0.375,0.0,0
nonlinear,0.5,0.0,0
supernal,0.0,0.25,2
insecurely,0.0,0.125,2
inconsequentially,0.125,0.0,2
unscientific,0.625,0.0,0
unseasonable,0.625,0.0,0
unbar,0.0,0.0,2
irremovable,0.5,0.0,0
inauspiciousness,0.625,0.0,0
underachievement,0.0,0.125,2
immovability,0.5,0.0,0
unfledged,0.375,0.0,0
nondrinker,0.0,0.0,2
nonreturnable,0.125,0.25,2
backless,0.0,0.0,2
uncertain,0.125,0.25,2
incompetent,0.625,0.0,0
imperfectibility,0.0,0.25,2
syncategorem,0.375,0.125,2
uninstructively,0.125,0.0,2
noncompetitive,0.75,0.0,0
unloaded,0.625,0.0,0
unactable,0.125,0.25,2
unsociability,0.0,0.5,1
unsentimentally,0.0,0.25,2
unfretted,0.125,0.125,2
unemployable,0.75,0.0,0
noninheritable,0.25,0.0,2
miscarry,0.0,0.0,2
inexperienced,0.0,0.25,2
dethrone,0.0,0.0,2
incomparable,0.25,0.375,2
distributive,0.0,0.0,2
divest,0.0,0.0,2
nonmember,0.0,0.0,2
unburden,0.0,0.0,2
inappropriately,0.125,0.125,2
disqualify,0.0,0.0,2
nonequivalence,0.25,0.0,2
impotent,0.0,0.0,2
unobvious,0.25,0.0,2
unprofitableness,0.625,0.125,0
dysphoria,0.75,0.0,0
unenterprising,0.0,0.0,2
uncontroversially,0.0,0.0,2
disarming,0.0,0.0,2
nonhierarchical,0.0,0.0,2
unnaturally,0.0,0.0,2
unshod,0.0,0.0,2
immortality,0.375,0.25,2
unfriendly,0.0,0.0,2
unprotective,0.375,0.0,0
destabilization,0.0,0.0,2
unpleasant,0.625,0.125,0
unpremeditated,0.5,0.0,0
unplayable,0.625,0.125,0
undefeated,0.0,0.5,1
intransitive,0.5,0.0,0
hypokalemia,0.5,0.0,0
insignificant,0.0,0.0,2
painless,0.0,0.0,2
detribalisation,0.0,0.0,2
disproportionately,0.0,0.0,2
nonpayment,0.0,0.0,2
unrequested,0.5,0.0,0
insatiate,0.0,0.0,2
impolitic,0.625,0.125,0
undiplomatic,0.75,0.0,0
dishearten,0.0,0.0,2
unequally,0.0,0.125,2
unsaddled,0.0,0.0,2
misbehave,0.0,0.0,2
unmoved,0.25,0.25,2
disagreeable,0.875,0.125,0
unresponsive,0.75,0.0,0
unemotional_person,0.25,0.5,2
incongruous,0.375,0.375,2
unrevived,0.125,0.0,2
inaptitude,0.375,0.375,2
innumerate,0.0,0.0,2
indirectly,0.75,0.0,0
nonfinancial,0.5,0.0,0
implode,0.0,0.0,2
purposelessness,0.0,0.625,1
nonindustrial,0.5,0.125,0
noncurrent,0.0,0.0,2
incredible,0.0,0.0,2
non-involvement,0.0,0.0,2
imperviousness,0.375,0.5,2
unimpressive,0.5,0.125,0
disorganized,0.0,0.0,2
inhibitor,0.0,0.0,2
undemanding,0.0,0.0,2
unswept,0.75,0.0,0
dissuade,0.0,0.0,2
unsupported,0.75,0.0,0
unspecified,0.625,0.0,0
unselfish,0.125,0.375,2
maladjusted,0.0,0.0,2
subsonic,0.0,0.0,2
divergent,0.0,0.0,2
decentralizing,0.0,0.0,2
inactive,0.625,0.0,0
inconspicuousness,0.25,0.5,2
weedless,0.0,0.0,2
incongruent,0.0,0.0,2
invisibility,0.625,0.125,0
nonracial,0.0,0.0,2
hypertonic,0.0,0.0,2
unpotted,0.625,0.0,0
incompatibility,0.25,0.0,2
unnecessarily,0.0,0.375,1
indiscipline,0.375,0.0,0
unmanned,0.25,0.0,2
tongueless,0.0,0.0,2
unwanted,0.25,0.0,2
dishonorableness,0.75,0.125,0
disoblige,0.0,0.0,2
illegal,0.0,0.0,2
meaninglessness,0.0,0.0,2
unadoptable,0.0,0.0,2
unplowed,0.0,0.25,2
unparented,0.5,0.0,0
undependable,0.75,0.0,0
hatless,0.0,0.0,2
unearned_run,0.125,0.0,2
acaulescent,0.0,0.0,2
non-engagement,0.0,0.0,2
unstained,0.25,0.0,2
uncharacteristically,0.0,0.25,2
undeniable,0.875,0.0,0
uninformatively,0.125,0.0,2
depressurize,0.0,0.0,2
topless,0.0,0.0,2
unbridle,0.0,0.0,2
discomfort,0.25,0.0,2
unkindly,0.125,0.625,1
achromatinic,0.0,0.0,2
untrustworthiness,0.75,0.0,0
unsusceptible,0.75,0.125,0
detribalization,0.0,0.0,2
irresolutely,0.125,0.0,2
noninterference,0.125,0.0,2
divergent_thinking,0.0,0.0,2
inferior,0.75,0.0,0
nondisposable,0.0,0.125,2
unbraid,0.0,0.0,2
cheerlessness,0.75,0.125,0
impermissibly,0.125,0.0,2
indecorousness,0.5,0.25,2
destabilise,0.0,0.0,2
unexpectedness,0.25,0.5,2
imprudence,0.0,0.375,1
maladroitly,0.0,0.5,1
unmalleability,0.5,0.0,0
unawed,0.125,0.0,2
insufficiency,0.625,0.375,2
immoral,0.75,0.125,0
unclothed,0.125,0.125,2
unveiled,0.0,0.0,2
seedless,0.0,0.0,2
inelegantly,0.0,0.0,2
ineffectually,0.0,0.25,2
unfaithful,0.625,0.0,0
noncommissioned,0.0,0.0,2
unsupportive,0.625,0.0,0
inactivate,0.0,0.0,2
unhealthfulness,0.556,0.444,2
malignancy,0.5,0.125,0
desynchronizing,0.0,0.0,2
desalinate,0.0,0.0,2
malodorous,0.875,0.0,0
supersonic,0.0,0.0,2
uninstructive,0.375,0.125,2
unemotionally,0.0,0.25,2
wigless,0.0,0.0,2
subsurface,0.0,0.0,2
inland,0.0,0.0,2
indispensability,0.375,0.375,2
undefined,0.375,0.25,2
malfunctioning,0.0,0.0,2
uncompromising,0.0,0.0,2
misused,0.0,0.0,2
disapprovingly,0.125,0.125,2
uncomplimentary,0.5,0.125,0
irresistible,0.625,0.0,0
unregenerate,0.0,0.0,2
unmusically,0.0,0.25,2
invariableness,0.5,0.0,0
unsurprising,0.0,0.0,2
undependableness,0.625,0.25,0
unbalconied,0.5,0.0,0
unqualified,0.0,0.0,2
immaterial,0.625,0.0,0
illegitimate,0.125,0.0,2
nonbiodegradable_pollution,0.0,0.0,2
untroubled,0.625,0.0,0
nonwoody,0.0,0.0,2
inaptness,0.0,0.75,1
malfunction,0.0,0.0,2
nonwashable,0.25,0.25,2
immateriality,0.0,0.625,1
immutableness,0.5,0.125,0
irreparable,0.5,0.0,0
inconclusiveness,0.375,0.5,2
nonharmonic,0.25,0.0,2
thoughtlessness,0.5,0.375,2
inconclusively,0.125,0.0,2
unreserved,0.125,0.0,2
nonpasserine,0.0,0.0,2
devitalize,0.0,0.0,2
unsystematically,0.0,0.25,2
unreflected,0.0,0.25,2
on-site,0.0,0.0,2
unambitiously,0.0,0.25,2
unfree,0.0,0.125,2
unfaceted,0.0,0.0,2
unaffixed,0.25,0.0,2
insensitive,0.625,0.0,0
unwearable,0.625,0.125,0
hypovolemia,0.0,0.0,2
unequal,0.375,0.125,2
unacknowledged,0.625,0.0,0
unsanitary,0.125,0.5,1
gutless,0.0,0.0,2
infallibility,0.625,0.0,0
undesirous,0.375,0.125,2
unselected,0.25,0.0,2
unrestrictive,0.75,0.0,0
ungratefully,0.0,0.25,2
discouraging,0.0,0.0,2
unceremoniously,0.0,0.125,2
atomistic,0.0,0.0,2
unstimulating,0.0,0.0,2
unconventionally,0.25,0.5,2
inaccurately,0.0,0.25,2
undedicated,0.25,0.0,2
nonexploratory,0.0,0.0,2
unexchangeable,0.75,0.25,0
integration,0.0,0.0,2
unsurprised,0.5,0.0,0
skinless,0.0,0.0,2
unfit,0.0,0.0,2
outboard,0.0,0.0,2
unenclosed,0.5,0.0,0
invulnerable,0.0,0.25,2
unmodulated,0.0,0.25,2
unsteady,0.0,0.125,2
impermissible,0.25,0.0,2
intransitivity,0.0,0.0,2
undiluted,0.25,0.0,2
unsatisfactorily,0.125,0.0,2
unshared,0.25,0.0,2
unknot,0.0,0.0,2
unpaintable,0.75,0.0,0
inoperative,0.125,0.0,2
indefeasible,0.75,0.0,0
asymmetrical,0.375,0.0,0
uninsured,0.25,0.375,2
adiabatic,0.625,0.0,0
deceleration,0.0,0.0,2
inseparably,0.5,0.0,0
insulator,0.0,0.0,2
forceless,0.0,0.0,2
unforgiving,0.0,0.0,2
nonionized,0.0,0.0,2
unearned,0.5,0.125,0
inefficiently,0.0,0.25,2
unprincipled,0.375,0.375,2
unambitious,0.0,0.5,1
intemperate,0.0,0.0,2
irregularity,0.0,0.5,1
ungrateful,0.75,0.0,0
imperfection,0.125,0.0,2
immersion,0.0,0.0,2
unwooded,0.25,0.0,2
unafraid,0.0,0.0,2
nonfissile,0.0,0.0,2
infelicity,0.375,0.0,0
unhappily,0.625,0.0,0
unopposable,0.5,0.0,0
nonrepresentational,0.0,0.0,2
unsworn,0.625,0.0,0
disrespect,1.0,0.0,0
unchaste,0.0,0.0,2
impalpable,0.625,0.125,0
dejected,0.0,0.0,2
unashamed,0.25,0.25,2
unseeded,0.125,0.375,2
unhurried,0.75,0.0,0
disingenuous,0.875,0.0,0
inconsolable,0.75,0.0,0
indecorous,0.0,0.625,1
unpardonable,0.625,0.0,0
colorless,0.0,0.0,2
unformed,0.75,0.0,0
noncellular,0.5,0.0,0
unconcern,0.0,0.0,2
demobilization,0.0,0.0,2
inoffensive,0.75,0.125,0
illogicalness,0.75,0.25,0
incompetently,0.0,0.125,2
unhelpful,0.25,0.125,2
inessentiality,0.75,0.125,0
incurious,0.625,0.125,0
unestablished,0.75,0.0,0
illogical,0.0,0.5,1
unbrainwashed,0.625,0.0,0
nonmodern,0.125,0.0,2
ungregarious,0.375,0.0,0
untipped,0.625,0.0,0
uncreativeness,0.5,0.0,0
irresponsible,0.0,0.5,1
intractability,0.125,0.0,2
unveil,0.0,0.0,2
insolvent,0.625,0.0,0
untempered,0.625,0.0,0
unchangeable,0.5,0.375,2
outfield,0.0,0.0,2
unfixed,0.625,0.125,0
unregretful,0.75,0.125,0
unmake,0.0,0.0,2
nonarbitrary,0.625,0.0,0
unworthy,0.25,0.625,1
incredulous,0.75,0.0,0
nontaxable,0.375,0.0,0
handless,0.0,0.0,2
decreased,0.0,0.0,2
unrealistically,0.0,0.25,2
dishonesty,0.75,0.125,0
nonreversible,0.625,0.0,0
inexhaustible,0.25,0.375,2
limbless,0.0,0.0,2
undamaged,0.375,0.375,2
bellyless,0.0,0.0,2
